,Rank,Wine,Winery,Vintage,Score,Price,Notes,ListYear
1505,25,Château Lagrange St.-Julien +,Château Lagrange,2000,93,33.0,"Extremely well-done. Beautifully aromatic, with coffee, cedar and blackberries on the nose. Full-bodied, with fine tannins and a mineral, blackberry aftertaste with medium fine tannins. I haven't had a Lagrange of this quality in years. Best after 2010. 25,000 cases made. —JS",2003
1506,30,E. Guigal Hermitage +,E. Guigal,2000,97,60.0,"Ultrarich and ultrathick. A full-bodied, stunningly sweet-tasting Northern Rhône, it delivers a ripe mouthfeel and plenty of fruit, mineral and toasty, smoky character. Long, balanced finish. Great Hermitage red from Guigal. Drink now through 2012. 4,580 cases made. —PM",2003
1507,27,Casanuova delle Cerbaie Brunello di Montalcino +,Casanuova delle Cerbaie,1998,94,54.0,"Big and concentrated red, with plum, berry, currants and cherry character. Full-bodied, with thick tannins and a long, rich finish. Dense wine. As impressive as the 1997. Best after 2004. 2,250 cases made. —JS",2003
1508,29,Montus Bouscassé Madiran Château Bouscassé Vieilles Vignes +,Montus Bouscassé,2000,93,30.0,"Powerful and well-structured red, with dark plum, smoke and dark cherry flavors, and loads of meat and coffee notes. Full-bodied, with licorice and mocha elements on the long, long finish. Best from 2004 through 2007. 6,600 cases made. —KM",2003
1509,32,Albino Rocca Barbaresco Vigneto Brich Ronchi +,Albino Rocca,2000,95,65.0,"Very attractive aromas of ripe plum, berry and grilled meat. Full-bodied, with lovely fruit and big, silky tannins. The finish is fantastic, with very ripe fruit, yet refined and caressing in texture. Best after 2008. 2,080 cases made. —JS",2003
1510,26,Mount Eden Vineyards Chardonnay Edna Valley West Slope Edna Ranch +,Mount Eden Vineyards,2001,91,12.0,"Remarkably complex and elegant, with a delicious range of flavors built around vibrant pear, nectarine, honeysuckle, creamy fig and light toasty-hazelnut scented oak. Turns sleek and vibrant, with a wonderful aftertaste of complex flavors. Drink now through 2005. 4,362 cases made. —JL",2003
1511,41,E. Guigal Châteauneuf-du-Pape +,E. Guigal,2001,93,40.0,"Old-fashioned, this full-bodied traditional wine seduces with its decadent game, saddle-leather, plum and sautéed wild mushroom aromas. No hint of fancy oak, just a mouthful of Châteauneuf character that swirls around to a long, sweet finish. Another great négoce red from Guigal. Drink now through 2008. 23,330 cases made. —PM",2003
1512,28,Mulderbosch Sauvignon Blanc Stellenbosch +,Mulderbosch,2003,92,20.0,"Crackling, live-wire Sauvignon, with textbook gooseberry, grass, lime and mineral flavors on a racy frame. Pure and long, with great acidity rippling beneath it all. Let this emerge fully in the cellar. Best from 2004 through 2006. 11,500 cases made. —JM",2003
1513,66,d'Arenberg Shiraz McLaren Vale The Footbolt Old Vine +,d'Arenberg,2001,90,18.0,"Bright and jazzy, with delicious blackberry and cherry and subtle touches of anise and pepper weaving through the lively, long finish. Drink now through 2010. 5,000 cases imported. —HS",2003
1514,45,Marchesi de' Frescobaldi Chianti Rufina Montesodi +,Marchesi de' Frescobaldi,2001,93,40.0,"A beauty. Dark, with beautiful aromas of blackberry, mineral and spice. Full-bodied, with a solid core of fruit and tannins and a long, long finish. Pure Sangiovese. Best after 2006. 5,800 cases made. —JS",2003
1515,59,Château Gruaud-Larose St.-Julien +,Château Gruaud-Larose,2000,95,100.0,"Absolutely wonderful aromas of flowers, currants and citrus. Full-bodied, yet very, very refined, with a center core of fruit that tastes like crushed raspberries and goes on and on. Greatest wine from this estate since 1945. Best after 2010. 18,750 cases made. —JS",2003
1516,44,Nobilo Sauvignon Blanc Marlborough Icon Series +,Nobilo,2002,91,19.0,"Brisk, floral style brims with pear, grapefruit and passion fruit aromas and flavors, which linger effortlessly on the vibrant finish. Drink now. 14,000 cases made. —HS",2003
1517,34,Domenico Clerico Barolo Pajana +,Domenico Clerico,1999,95,75.0,"Layers and layers of fruit. Intense aromas of blackberry, tobacco, mineral and dried mushroom. Full-bodied, with big velvety tannins and rich and wonderful fruit. Long, long finish. Goes on and on. I like it better than the outstanding 1998. Clerico is a master again. Best after 2010. 550 cases made. —JS",2003
1518,39,Chéreau-Carré Muscadet de Sèvre et Maine Sur Lie Château de Chasseloir +,Chéreau-Carré,2002,90,9.0,"This Muscadet offers rare explosiveness, with concentrated lemon peel, grapefruit, honeysuckle, mineral and briny notes. The racy acidity carries it along effortlessly, while a second wave of fruit emerges on the finish. Hard for Muscadet to be better than this. Drink now through 2004. 15,000 cases made. —JM",2003
1519,46,St.-Urbans-Hof Riesling QbA Mosel-Saar-Ruwer +,St.-Urbans-Hof,2001,90,10.0,"Like a laser beam, this wine zaps the palate with ripe apple, peach, citrus and mineral notes, then exits as cleanly as it entered, leaving you wanting more. Drink now through 2006. 3,800 cases made. —BS",2003
1520,43,Château La Nerthe Châteauneuf-du-Pape +,Château La Nerthe,2001,93,40.0,"Seductive, elegant and refined, with subtle but rich flavors, in a full-bodied package that includes ripe fruit, spice, smoke, plum and quince pie. Tightly wound (but sweet) tannins, and a burst of mineral make this particularly long and clean on the finish. Best from 2007 through 2020. 16,665 cases made. —PM",2003
1521,51,Kim Crawford Sauvignon Blanc Marlborough +,Kim Crawford,2003,90,16.0,"Bright and generous. Impressively balanced to show touches of ripe melon against tart grapefruit and lime flavors that echo nicely on the lively, delicately herbal finish. Drink now. 35,000 cases made. —HS",2003
1522,37,Dr. Loosen Riesling Kabinett Mosel-Saar-Ruwer Wehlener Sonnenuhr +,Dr. Loosen,2001,92,18.0,"Gorgeous balance and grace in this peach- and mineral-flavored Riesling. Great clarity and delicacy defy the amount of flavors deftly positioned on its lightweght frame. Plenty of snap and a chalky texture on the finish. Drink now through 2012. 1,000 cases made. —BS",2003
1523,56,Lingenfelder Riesling QbA Pfalz Bird Label +,Lingenfelder,2001,90,13.0,"Brilliance and clarity highlight this Riesling, whose peach, grapefruit and spice notes are brought into focus against the vivid structure. Subtle, lingering finish. Drink now through 2006. 5,000 cases made. —BS",2003
1524,54,Neil Ellis Sauvignon Blanc Groenekloof +,Neil Ellis,2002,90,14.0,"Really fine Sauvignon here--juicy and vibrant, with lemon, chive, chalk, nettle and mineral notes, and a long, lively finish. Strong grassy edge to the finish adds dimension. Drink now through 2004. 11,000 cases made. —JM",2003
1525,60,Columbia Crest Syrah Columbia Valley Reserve +,Columbia Crest,2001,92,30.0,"Supple and seductive, a lush mouthful of blackberry, blueberry and plum flavors shaded with some subtlety by black pepper, olive and vanilla notes, all of it lingering effortlessly on the remarkably refined finish. Drink now through 2010. 1,000 cases made. —HS",2003
1526,53,Domaine Tempier Bandol +,Domaine Tempier,2000,92,27.0,"Rich, bacony aromas and flavors mix with alluring dark plum and red cherry flavors in this broad-tasting, full-bodied red. Intense blood, iron and mineral notes linger with spicy elements on the powerful finish. Drink now through 2007. 1,500 cases imported. —KM",2003
1527,33,Domaine de la Solitude Châteauneuf-du-Pape +,Domaine de la Solitude,2001,93,34.0,"Impressive. A sophisticated red, with a modern accent, showing vanilla, mocha, chocolate and smoke, all of which complement nicely the ripe and sweet fruit. Full-bodied, clean and racy. Harmonious finish. Drink now through 2015. 6,500 cases made. —PM",2003
1528,50,Didier Dagueneau Pouilly-Fumé Pur Sang +,Didier Dagueneau,2001,93,42.0,"This is a powerhouse, with lemon curd, chamomile, honeysuckle, white peach and mineral notes on an incredibly lush frame, yet it's all supported by riveting acidity underneath. Terrific cut and length here, with remarkable persistence on the finish. Drink now through 2006. 1,915 cases made. —JM",2003
1529,65,Pascal Jolivet Sancerre +,Pascal Jolivet,2002,90,20.0,"Lots to like here, with citrus peel, straw, mineral, lemon curd and peach notes. This bouncy Sancerre has length, vibrancy and balance and begs for food. Delicious. Drink now through 2005. 30,000 cases made. —JM",2003
1530,38,Numanthia-Termes Toro Termes +,Numanthia-Termes,1999,92,21.0,"Blackberry fruit claims center stage in this powerful red, where it mingles with tobacco and coffee notes and plenty of smoky oak. Massive tannins give structure, but the fruit reemerges on the finish. Best after 2004. 1,000 cases imported. —TM",2003
1531,52,Lisini Brunello di Montalcino Ugolaia +,Lisini,1997,97,99.0,"Fabulous bottle. Very, very classy aromas of freshly cut flowers, crushed berries, with hints of cedar. Full-bodied, yet extremely reserved, with fine tannins and impressive fruit. However, it's all in balance. It goes on and on. Best after 2005. 833 cases made. —JS",2003
1532,55,Château d'Agassac Haut-Médoc +,Château d'Agassac,2000,90,15.0,"Super effort. Complex aromas of milk chocolate, plum and coffee, with hints of game. Full-bodied, soft and round tannins, with a ripe fruit finish. Lovely wine. Best after 2005. 12,675 cases made. —JS",2003
1533,42,Bonneau du Martray Corton-Charlemagne +,Bonneau du Martray,2000,95,80.0,"Beautiful white Burgundy, incredibly ripe yet very pure and showing lovely mineral character. Some toasted oak, but mostly ripe pear, tropical and lime notes. Full-bodied, it sings on the palate to a long, long juicy and sweet finish. Drink now through 2012. 3,200 cases made. —PM",2003
1534,47,Concha y Toro Merlot Peumo Marqués de Casa Concha +,Concha y Toro,2001,90,14.0,"Smoky and ripe, with black currant and plum fruit, hints of herbs, cocoa and toast, and fleshy, mouthfilling finish. Feels like it has the stuffing to cellar a bit too. This label is really strong these days. Drink now through 2005. 20,000 cases made. —JM",2003
1535,61,Gini Soave Classico Superiore +,Gini,2001,90,15.0,"A bright and fruity Soave, with ripe apple and apricot character. Medium-bodied, with good fruit and a long finish. You don't get better than this for value in Italian whites. Drink now. 10,000 cases made. —JS",2003
1536,49,Seghesio Zinfandel Sonoma County Old Vine +,Seghesio,2001,92,28.0,"Terrific range of flavors, excellent balance and a wonderful sense of harmony. The mix of blackberry, black cherry, anise, sage and toast make this a most inviting wine. Not shy on muscle or tannic backbone, either, as it's quite chewy on the finish. Drink now through 2009. 7,800 cases made. —JL",2003
1537,48,Château Malescasse Haut-Médoc +,Château Malescasse,2000,90,15.0,"Loads of crushed raspberries, minerals and spices on the nose. Full-bodied, and concentrated, yet very refined and tight. A lovely elegant claret. Seriously good. Best after 2005. 13,330 cases made. —JS",2003
1538,85,J. & F. Lurton Toro El Albar Excelencia +,J. & F. Lurton,1999,91,25.0,"A beauty, in the international style. Dark color, lavish oak, ripe fruit and muscular structure mark this red. Flavors range from cassis to chocolate to mineral. Balanced and deep. Best from 2005 through 2010. 1,500 cases made. —TM",2003
1539,71,Viña Montes Cabernet Sauvignon Santa Cruz Alpha Apalta Vineyard +,Viña Montes,2001,90,20.0,"Lovely fruit here--cassis, red currant and blackberry--with supple texture. Yet there's serious grip, with mineral, cocoa and toast notes as well, all framed by firm yet well-integrated tannins. This should develop nicely. Drink now through 2006. 20,150 cases made. —JM",2003
1540,75,Castello di Querceto Chianti Classico Riserva +,Castello di Querceto,1999,90,23.0,"Wonderful aromas of spice, blackberry and incense. Full-bodied, with fine tannins and a long, long finish. Very well-crafted. Best after 2003. 12,000 cases made. —JS",2003
1541,91,Bodegas Emilio Moro Ribera del Duero +,Bodegas Emilio Moro,2000,91,28.0,"Beautifully polished, complex but balanced, this impressive red shows ripe fruit, judicious oak and a vibrant sense of place. Not overly muscular, but finely proportioned and deeply flavored. Drink now through 2010. 1,000 cases imported. —TM",2003
1542,73,Finca Allende Rioja +,Finca Allende,1999,90,20.0,"Elegant, vivid and sophisticated, showing pure fruit flavors of blackberry and blueberry, accented by vanilla from oak and kept lively by crisp acidity. Well-proportioned and well-integrated. Drink now through 2012. 3,000 cases imported. —TM",2003
1543,72,Franciscan Oakville Estate Cabernet Sauvignon Napa Valley +,Franciscan Oakville Estate,2000,90,27.0,"Quite reliant on jazzy oak, but it's also quite rich and concentrated, with appealing currant, black cherry, anise, mineral and leathery notes, finishing with pretty coffee ground notes. Drink now through 2009. 88,858 cases made. —JL",2003
1544,70,Château Beau-Site St.-Estèphe +,Château Beau-Site,2000,90,20.0,"Intense coffee, spice and ripe berries on the nose. Full-bodied, with lots of soft and silky tannins and a long, long fruity, berry and vanilla aftertaste. Reminds me of the excellent 1989, which I am still drinking with relish. Excellent value here. Best after 2007. 24,665 cases made. —JS",2003
1545,62,Peter Lehmann Clancy's Barossa +,Peter Lehmann,2001,91,20.0,"Plump and generous, a deep, plush-textured red that bursts with plum, blackberry, vanilla, white pepper and cream flavors, which echo beautifully as the flavors last and last on the gorgeous finish. Shiraz, Cabernet Sauvignon and Merlot. Drink now through 2015. 20,000 cases made. —HS",2003
1546,77,Byron Pinot Noir Santa Maria Valley +,Byron,2001,90,25.0,"Smooth, rich and concentrated, with a tasty core of plum, blackberry and wild berry shaded by toasty, smoky oak. It all comes together on the finish, where it turns complex and plush. Drink now through 2007. 9,213 cases made. —JL",2003
1547,76,Altos de Medrano Malbec Mendoza Viña Hormigas Reserva +,Altos de Medrano,2001,91,24.0,"Serious juice here, with deep, vivid purple color, loads of plum, boysenberry and blackberry fruit, extra layers of meat, mineral and toast, and a terrific velvety texture despite the dense, muscular tannins. Drink now through 2007. 5,000 cases made. —JM",2003
1548,63,Argyle Pinot Noir Willamette Valley +,Argyle,2001,90,18.0,"Light in texture, but the flavors pile up nicely, growing from delicate berry to rich plum and spice as they fill the mouth on the finish. Drink now through 2005. 16,373 cases made. —HS",2003
1549,74,Bergström Pinot Noir Willamette Valley +,Bergström,2001,91,18.0,"Lovely stuff, it manages to be rich in flavor yet delicate in texture, offering raspberry and mint-scented cherry and peppery spice flavors, which linger effortlessly on the fine-grained finish. Drink now through 2008. 1,100 cases made. —HS",2003
1550,57,Rosemount Shiraz Mudgee Hill of Gold +,Rosemount,2001,90,17.0,"Brighter, livelier and juicier than most Australian Shiraz, a vibrant wine with crisp blackberry, plum and vaguely leafy-herbal flavors that persist beautifully on the harmonious finish. Drink now through 2010. 23,000 cases made. —HS",2003
1551,95,Josmeyer Riesling Alsace Les Pierrets +,Josmeyer,2001,93,47.0,"Etched in stone. Dry and tightly wound, this conjures up a limestone cliff after a thunderstorm. Quince and peach also mingle in its rocky depths. Firm and concentrated, this is for rock hounds. Best from 2005 through 2012. 1,000 cases made. —BS",2003
1552,80,Sea Smoke Pinot Noir Santa Rita Hills Botella +,Sea Smoke,2001,91,25.0,"Dark, firm, rich and intense, with lots of concentration to the black cherry, blackberry, fresh earth and blueberry jam flavors. Well-focused, with mouthcoating, integrated tannins and a long, pure, rich aftertaste. Drink now through 2008. 536 cases made. —JL",2003
1553,83,Cims de Porrera Priorat Solanes +,Cims de Porrera,2001,90,25.0,"A luscious, velvety texture carries plum, toast, spice and licorice flavors in this generous red. Tannins are big, ripe and round, the finish sweet and spicy. Drink now through 2012. 4,700 cases made. —TM",2003
1554,79,Landmark Chardonnay Sonoma-Monterey Counties Overlook +,Landmark,2001,90,25.0,"Loads of rich flavors yet with a sense of elegance and finesse, with layers of ripe, spicy, apple, pear and buttery notes, finishing with lively, well-integrated acidity and a burst of flavor on the aftertaste. Drink now through 2005. 18,000 cases made. —JL",2003
1555,58,Allegrini Verona Palazzo della Torre +,Allegrini,1999,90,18.0,"A gorgeous wine. This shows beautiful perfumes of ripe fruit, with hints of spicy oak and dried flowers. Full-bodied, with superfine, silky tannins and a long, long finish. Best from 2004 through 2008. 18,180 cases made. —JS",2003
1556,67,Dominio de Tares Mencía Bierzo +,Dominio de Tares,2001,90,16.0,"This dark red impresses with its solid structure and good balance. The flavors are muted now, but the concentration is evident, and a core of wild plum and toast notes will open with time. Best from 2004 through 2009. 10,000 cases made. —TM",2003
1557,84,Beringer Alluvium Red Knights Valley +,Beringer,1999,90,30.0,"Dark, rich and polished, with complex, concentrated currant, tobacco, olive, bell pepper and blackberry flavors. Finishes with a flash of spicy, toasty oak and ripe, integrated tannins. Merlot, Cabernet Sauvignon, Cabernet Franc, Malbec and Petit Verdot. Best from 2004 through 2011. 9,000 cases made. —JL",2003
1558,82,Penfolds Cabernet-Shiraz South Australia Bin 389 +,Penfolds,2000,90,26.0,"Starts off dark and dense, but quickly finds a sense of elegance that lets the pepper- and licorice-scented blackberry and cherry flavors come sailing through, echoing beautifully on the firm, fine-grained finish. Drink now through 2010. 17,000 cases imported. —HS",2003
1559,86,Nigl Grüner Veltliner Qualitätswein Trocken Kremstal +,Nigl,2002,90,18.0,"A floral white, delicate and graceful, this combines apple, citrus and mineral flavors with a slim yet medium-bodied frame. Its silky texture and seamlessness reveal its pedigree. Drink now through 2010. 1,000 cases made. —BS",2003
1560,64,Chateau Ste. Michelle-Dr. Loosen Riesling Columbia Valley Eroica +,Chateau Ste. Michelle-Dr. Loosen,2002,91,20.0,"Ripe, fresh and juicy, with immense generosity, brimming with mineral-scented, honey-kissed apricot and peach flavors, supple on the finish and nicely laced with just enough acidity to keep it long and lively. Drink now through 2008. 10,000 cases made. —HS",2003
1561,90,Castello di Volpaia Chianti Classico Riserva +,Castello di Volpaia,2000,91,29.0,"Gorgeous aromas of plum, blackberry and violet. Full-bodied, with bright, delicious fruit and refined tannins. Long, long finish. As a Chianti Classico riserva should be. Drink now through 2008. 3,300 cases made. —JS",2003
1562,87,L'Ecole No. 41 Syrah Walla Walla Valley Seven Hills Vineyard +,L'Ecole No. 41,2001,92,35.0,"A racy, wild, generous Syrah, juicy with lively acidity balancing the raucous blackberry, plum and a whiff of mineral and gamy character that wafts through the long, aromatic finish. Tannins are subdued, and it all holds together nicely. Drink now through 2010. 960 cases made. —HS",2003
1563,78,Talley Chardonnay Arroyo Grande Valley +,Talley,2001,90,24.0,"Intense and lively, with freshly squeezed lime and green apple flavors that are enlivened by acidity, giving this a long, fruity, cleansing aftertaste. Drink now through 2007. 6,340 cases made. —JL",2003
1564,81,Rust en Vrede Stellenbosch +,Rust en Vrede,2000,92,33.0,"Terrific juice, pure and driven, with red and black currant, cassis, bittersweet chocolate, graphite and espresso flavors. Serious depth, with the fruit coursing through the finish despite its youthful tightness. A classy wine. Cellar. Cabernet Sauvignon, Shiraz and Merlot. Best from 2004 through 2008. 1,600 cases imported. —JM",2003
1565,100,Vincent Girardin Chassagne-Montrachet Morgeot Vieilles Vignes +,Vincent Girardin,2001,91,49.0,"Fat and rich, with a botrytislike dried apricot, dried peach, fig and honey character. Has the opulence of a grand cru. Silky. Full-bodied and harmonious, but not as long as it could be on the finish. Drink now through 2010. 700 cases made. —PM",2003
1566,92,Pride Merlot Napa-Sonoma Counties +,Pride,2001,93,48.0,"Beautifully crafted, exquisitely balanced and rich in currant, exotic spice and ripe blackberry fruit. Turns spicy and exhibits pretty mocha-scented oak, with a long, broad, rich aftertaste. Drink now through 2010. 5,320 cases made. —JL",2003
1567,68,Capezzana Carmignano Villa di Capezzana +,Capezzana,2000,91,25.0,"This excellent wine is a relatively good value for the quality. Intense aromas of berry, spice and pepper follow through to a full-bodied palate, with silky tannins and a rich finish. Best after 2004. 5,800 cases made. —JS",2003
1568,89,Robert Mondavi Cabernet Sauvignon Stags Leap District +,Robert Mondavi,1999,92,40.0,"Beautifully crafted, with wonderful, complex aromas and a smooth, seductive texture. Layers of currant, cedar, herb, coffee, olive and mocha, turning remarkably elegant and supple. Ripe, well-integrated tannins give it a long, flavorful finish. Drink now through 2010. —JL",2003
1569,96,Ojai Syrah California Roll Ranch Vineyard +,Ojai,2000,93,45.0,"Simply delicious, overflowing with flavor. Inky dark, ripe, rich and plush, with a load of jammy plum, blackberry, wild berry and spicy aromatics. Finishes with a long, complex aftertaste and a gush of fruit. Tannins are well-integrated. Drink now through 2010. 600 cases made. —JL",2003
1570,88,HdV Chardonnay Carneros +,HdV,2000,93,45.0,"Beautifully crafted, sleek, rich and refined, with a tight, elegant beam of spicy pear, citrus, honey and fresh, clean earth. Tapered on the finish, where the flavors are long and detailed. Nary a trace of oak in this classy debut Chardonnay from HdV. Drink now through 2007. 1,500 cases made. —JL",2003
1571,94,Beni di Batasiolo Barbaresco +,Beni di Batasiolo,2000,90,35.0,"Beautiful and elegant, with silky, ripe fruit. Medium-bodied, with medium, fine tannins and a caressing finish. Very fine. Excellent value. Best after 2007. 5,400 cases made. —JS",2003
1572,99,Lagier Meredith Syrah Mount Veeder +,Lagier Meredith,2001,93,50.0,"Tightly wound and firmly concentrated, it opens up to unveil a wealth of rich, exotic spices, with beefy bay leaf, earth and mineral scents to a dense, chewy core of beefy currant, blackberry and new leather, finishing with espresso, mocha and vanilla flavors that make it quite enticing. It should only get better in the next year. Best from 2005 through 2012. 430 cases made. —JL",2003
1573,98,Ciacci Piccolomini d'Aragona Brunello di Montalcino Vigna di Pianrosso +,Ciacci Piccolomini d'Aragona,1998,93,50.0,"Wild berry, cherry and floral aromas to this Brunello. Full-bodied, with big, silky tannins and loads of exciting fruit. Lively, yet refined. These wines are a joy to taste. Giuseppe Bianchini is a master in the vineyards. Best after 2004. 3,900 cases made. —JS",2003
1574,93,Zind-Humbrecht Gewürztraminer Alsace Turckheim Herrenweg +,Zind-Humbrecht,2001,91,34.0,"Lovely richness, fleshing out the honey, litchi and grapefruit peel notes. It gets good support from a moderately firm structure, with a touch of bitterness shoring up the long finish. Best from 2004 through 2008. 1,600 cases made. —BS",2003
1575,97,Cantina Vignaioli Barbaresco Vigneto Marcarini +,Cantina Vignaioli,2000,93,48.0,"A big wine, with fascinating aromas of black licorice, berry and toasted oak. Full-bodied, with loads of ripe fruit and velvety, fruit-coated tannins. Long finish. Easily the best wine from this producer this year due to the richness and balance. Best after 2008. 1,500 cases made. —JS",2003
1576,1,Château Rieussec Sauternes +,Château Rieussec,2001,100,80.0,"Like lemon curd on the nose, turning to honey and caramel. Full-bodied and very sweet, with fantastic concentration of ripe and botrytized fruit, yet balanced and refined. Electric acidity. Lasts for minutes on the palate. This is absolutely mind-blowing. This is the greatest young Sauternes I have ever tasted. Best after 2010. 12,500 cases made. —JS",2004
1577,2,Casa Lapostolle Clos Apalta Colchagua Valley +,Casa Lapostolle,2001,95,55.0,"Stunning purity, with concentrated plum, boysenberry and raspberry fruit that just glides across the palate, buttressed by superfine yet muscular tannins. Suave toast, coconut butter and spice notes along with alluring chocolate and black tea hints chime in on the long finish. A superb combination of fruit and elegance. Drink now through 2009. 4,885 cases made. —JM",2004
1578,12,Lewis Alec's Blend Napa Valley +,Lewis,2002,96,48.0,"A stunning effort. Wonderful fragrant aromas of violets, vanilla bean, espresso and tiers of black cherry and blackberry fruit. This is an unusually fruity and complex wine that is quite reliant on oak for some of its flavors, but also a wealth of rich, concentrated dark berry flavors, finishing with a long, luxurious finish. Syrah, Merlot and Cabernet Sauvignon. Drink now through 2012. 1,000 cases made. —JL",2004
1579,7,Château Lafite Rothschild Pauillac +,Château Lafite Rothschild,2001,96,155.0,"Stick your nose in this and it says something—""I am special."" Deep and generous aromas of blackberries, fresh tobacco and minerals. It's full-bodied, with big velvety tannins and a superlong finish. Like a fine cashmere sweater. Best after 2010. 22,000 cases made. —JS",2004
1580,3,Numanthia-Termes Toro Termes +,Numanthia-Termes,2002,93,24.0,"Cassis and cocoa notes follow through on the palate of this voluptuous, international-style red. Mouthcoating tannins can't overwhelm the ripe, expressive flavors of cassis, blackberry and kirsch. The wine is fresh and focused, and the long finish echoes with vanilla and Eastern spices. Best after 2005. 2,000 cases made. —TM",2004
1581,10,Fontodi Colli della Toscana Centrale Flaccianello +,Fontodi,2001,97,69.0,"Monumental, with masses of blackberry, coffee, berry and cherry aromas. Full-bodied, with layers of ripe tannins. Goes on and on. Builds on the palate. I have never tasted a greater wine from here. Better than 1997. Best after 2007. 4,000 cases made. —JS",2004
1582,11,Seghesio Zinfandel Sonoma County Sonoma +,Seghesio,2002,92,17.0,"Wonderful balance and sense of elegance, it offers vivid ripe fruit flavors that are rich and complex, with spicy black cherry, blackberry, pomegranate, herb and sage notes that add flavor dimensions and complexity. Firm, but ripe tannins add structure, allowing the fruit to push through. Drink now through 2009. 48,000 cases made. —JL",2004
1583,8,Greg Norman Estates Shiraz South Eastern Australia Reserve +,Greg Norman Estates,1999,96,40.0,"Dark, deep and powerful, an explosive wine, positively vibrating with ultraripe raspberry, blackberry, licorice, sweet peppers and spices, all balanced with juicy acidity and finishing with remarkable harmony and tremendous length. A real knockout. Best after 2006. 800 cases made. —HS",2004
1584,4,Paolo Scavino Barolo Bric dël Fiasc +,Paolo Scavino,2000,98,105.0,"Very, very ripe fruit, with strawberries and plums galore. Turns to Indian spices and cedar. Full-bodied, with an exquisite palate of ultraripe tannins that turn to velvet. Long, long finish. Cashmere. Great from barrel, great from bottle. This is the best Bric dël Fiasc ever. Best after 2010. 875 cases made. —JS",2004
1585,9,Château Suduiraut Sauternes +,Château Suduiraut,2001,98,65.0,"Gorgeous aromas of honey, passion fruit, mango and candied lemon rind. Full-bodied and ultraconcentrated, yet balanced and refined. It lasts for minutes on the palate. This has just about everything in the right place. Stunning. Best after 2009. 6,665 cases made. —JS",2004
1586,5,Peter Michael Les Pavots Knights Valley +,Peter Michael,2001,98,115.0,"Seductive spicy blackberry, floral and licorice flavors are simply fantastic in a wine that's rich in flavor yet delicately balanced and elegantly styled. This magnificent young wine gushes with ripe, fleshy Cabernet flavors, and while the flavors run deep, it's the balance and suppleness of the tannins that let you savor the wealth of perfectly ripened grapes. Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot. Best from 2006 through 2012. 1,853 cases made. —JL",2004
1587,16,Viña Almaviva Puente Alto +,Viña Almaviva,2001,95,85.0,"This brick house of a wine shows plenty of Pauillac-like hints of iron, dried currant and cigar smoke, but also has layers of Chilean loam, blackberry, plum, spice and minerals. A powerful performance in a powerful vintage. Cabernet Sauvignon, Carmenère and Cabernet Franc. Best from 2005 through 2012. 15,000 cases made. —JM",2004
1588,6,Tenuta dell'Ornellaia Toscana Masseto +,Tenuta dell'Ornellaia,2001,100,250.0,"Wonderful aromas of blackberries, raspberries and fresh tobacco, with a hint of exotic fruit. Full-bodied, with loads of velvety tannins and a long, long finish. Very silky indeed. A gorgeous, seductive, classy red. A monument to Tuscany. Layers and layers of fruit and tannins. Perhaps the greatest Tuscan red ever. Best after 2012. 2,670 cases made. —JS",2004
1589,14,Staglin Chardonnay Rutherford +,Staglin,2002,95,50.0,"Brilliant yellow-gold color, superrich and multifaceted, with layers of rich, creamy fig, citrus, pear and honeysuckle. This deliciously full-blown wine is deeply concentrated, finishing with a long, persistent aftertaste, picking up a cedar, smoke and toasty oak nuance that adds another dimension. Drink now through 2009. 960 cases made. —JL",2004
1590,24,Leeuwin Chardonnay Margaret River Art Series +,Leeuwin,2001,98,65.0,"Seamless, harmonious and seductive, its gorgeous cascade of pear, pineapple, guava, nectarine and subtle spice aromas and flavors flowing across the palate like a babbling brook in a Japanese garden. Amazingly refined and built to last, but it feels utterly complete already. The finish just sails on and on. Drink now through 2020. 4,500 cases made. —HS",2004
1591,13,Piper-Heidsieck Brut Champagne +,Piper-Heidsieck,1995,96,55.0,"Sensuous, aromatic and harmonious, evoking toast, candied citrus, hazelnut and mineral aromas and flavors; reminiscent of a white Burgundy, with bubbles. Impeccably balanced and finely textured, the finish echoes with toast and candied fruit notes. Drink now through 2008. 5,000 cases imported. —BS",2004
1592,15,Marchesi de' Frescobaldi Brunello di Montalcino Castelgiocondo +,Marchesi de' Frescobaldi,1999,95,56.0,"A tight and chewy wine, with full body and lots of raisin and spice character. Impressive, ripe tannins. Thick and powerful; needs time in the bottle. From one of the most serious producers in Montalcino now. Best after 2007. 21,660 cases made. —JS",2004
1593,17,Paul Hobbs Chardonnay Russian River Valley +,Paul Hobbs,2002,95,40.0,"You won't find many Chardonnays in this class. Ultrarich and multidimensional, with a fabulous array of creamy flavors built around a core of fig, apricot, crème brûlée and roasted marshmallows. Full-bodied, yet elegant and concentrated, it weaves the tapestry of flavors to a long, rich, graceful finish. Drink now through 2009. 2,016 cases made. —JL",2004
1594,25,Beaux Frères Pinot Noir Willamette Valley The Beaux Frères Vineyard +,Beaux Frères,2002,95,75.0,"Big and ripe, a mouthwatering wine with tingly acidity bringing harmony to a wash of plum, blackberry, cherry and dusky spice flavors, which persist on the fine-grained, not terribly tannic finish. Drink now through 2012. 2,599 cases made. —HS",2004
