,Rank,Wine,Winery,Vintage,Score,Price,Notes,ListYear
39,45,Robert Mondavi Cabernet Sauvignon Napa Valley +,Robert Mondavi,1985,94,15.0,"Distinct currant, cassis, cherry and vanilla flavors are elegant and well focused with harmonous tannins and subtle oak flavors around the edges. It's well balanced and very pretty, finishing with cassis-like flavors. Drink in 1994. —",1988
40,56,Girard Chardonnay Napa Valley +,Girard,1986,93,14.0,"Spicier, toastier and more complex than most California Chardonnays, emphas izing richness of texture and beautiful overtones of honey, tied together b eautifully in a superbly balanced, long finish. —",1988
41,21,Marchesi de' Frescobaldi Pomino Tenuta di Pomino Red +,Marchesi de' Frescobaldi,1985,93,12.0,"Densely concentrated, both color and aroma, but lean and elegant, almost delicate of structure, showing beautifully focused plum, anise and cassis, with a touch of chocolate and wee bit of herbs on the finish. Remarkable and distinctive. —",1988
42,16,Château Beychevelle St.-Julien +,Château Beychevelle,1985,95,35.0,"Outstanding wine. Incredibly toasty and vanilla-like in aroma, with rich, thick flavors of coffee, smoke, cherry and chocolate. Velvety in texture, strong in tannins, beautifully balanced, with a long, sweet, cherry finish. Best Beychevelle in years. —",1988
43,18,Château Ducru-Beaucaillou St.-Julien +,Château Ducru-Beaucaillou,1985,95,50.0,"Lean and silky with amazingly intense, ripe plum and cassis fruit, a hint of mint and cedar, beguilingly complex and rich, yet still delicate, almost sweet as it echoes the fruit and cedar on the finish. —",1988
44,32,Arrowood Cabernet Sauvignon Sonoma County +,Arrowood,1985,94,19.0,"A luscious Cabernet, supple and silky, elegant and stylish, loaded with str awberry, cherry and spicy plum flavors, supple tannins that are tightly reigned in. Graceful and attractive. Long full finish. Drink now, but it should only get better. —",1988
45,47,Chateau Montelena Cabernet Sauvignon Napa Valley +,Chateau Montelena,1984,94,20.0,"Deep, dark, concentrated and ripe, showing massive cherry, chocolate and spice flavors. Chewy texture, yet it's elegant and harmonious. Should be beautiful at five to 10 years' age. 11,439 cases made. —",1988
46,17,Château Pichon Longueville Lalande Pauillac +,Château Pichon Longueville Lalande,1985,95,40.0,"A massive wine, rich with currant, leather and spice, chewy texture and exp ncentrated and complex, yet immediately likeable, it's so delicious. —",1988
47,54,Biondi-Santi Brunello di Montalcino Riserva +,Biondi-Santi,1982,94,80.0,"Sharply focused, tightly wound, powerful, elegant and tannic, but cut with a laser beam of raspberry and red cherry flavor; bracing acidity on the finish. This might be ready to drink by the turn of the century. —",1988
48,43,Jaffelin Clos de Vougeot +,Jaffelin,1985,96,49.0,"Intense of flavor but delicate of structure, offering cranberry, violet, ci nnamon and caramel aromas and flavors folded neatly into a lean package tha t just seems to keep expanding on the finish. Defines finesse and elegance. —",1988
