winery,web,region,country,latlong
Von Ortloff Wines ,,Stellenbosch Franschhoek  ,South Africa,33°54′21″S 19°5′59″E
Avontuur Estate,,Stellenbosch Helderberg,South Africa,
Clos Du Ciel ,,Stellenbosch Helderberg,South Africa,
Cordoba ,,Stellenbosch Helderberg,South Africa,
De Helderberg Winery,,Stellenbosch Helderberg,South Africa,
Dellrust Wines ,,Stellenbosch Helderberg,South Africa,
Eikendal,,Stellenbosch Helderberg,South Africa,
Grangehurst Winery ,,Stellenbosch Helderberg,South Africa,
Ingwe Estate ,,Stellenbosch Helderberg,South Africa,
Jp Bredell Wines ,,Stellenbosch Helderberg,South Africa,
Ken Forrester Wines,,Stellenbosch Helderberg,South Africa,
L Auberge Du Paysan ,,Stellenbosch Helderberg,South Africa,
Longridge Winery ,,Stellenbosch Helderberg,South Africa,
Lushof Wine Estate ,,Stellenbosch Helderberg,South Africa,
Lyngrove,,Stellenbosch Helderberg,South Africa,
Meerlust Estate ,,Stellenbosch Helderberg,South Africa,34°1′1.7″S 18°45′24.7″E
Morgenster Estate,,Stellenbosch Helderberg,South Africa,
Mount Rozier,,Stellenbosch Helderberg,South Africa,
Onderkloof Vines & Wines,,Stellenbosch Helderberg,South Africa,
Oudekloof ,,Stellenbosch Helderberg,South Africa,
Post House Wines ,,Stellenbosch Helderberg,South Africa,
Somerbosch,,Stellenbosch Helderberg,South Africa,
Stonewall ,,Stellenbosch Helderberg,South Africa,
TOPAZ WINE ,,Stellenbosch Helderberg,South Africa,
Vergelegen,,Stellenbosch Helderberg,South Africa,34°4′37″S 18°53′30.6″E
Vergenoegd Wine Estate ,,Stellenbosch Helderberg,South Africa,
Yonder Hill ,,Stellenbosch Helderberg,South Africa,
De Toren Private Cellar,,Stellenbosch Polkadraai Hills,South Africa,
Slaley,,Stellenbosch Simonsberg,South Africa,
Allesverloren Estate,,Swartland,South Africa,33°21′32.5″S 18°52′24.1″E
Cloof Estate,,Swartland,South Africa,
Darling Cellars ,,Swartland,South Africa,
Groote Post Vineyards,,Swartland,South Africa,
Kloovenburg Estate,,Swartland,South Africa,
Lammershoek Winery,,Swartland,South Africa,33°31′30.2″S 18°48′21.1″E
Meerhof Wine Cellar,,Swartland,South Africa,
Porterville Co-op,,Swartland,South Africa,
Riebeek Cellars,,Swartland,South Africa,
Sadie Family,,Swartland,South Africa,33°31′31″S 18°48′18.1″E
Swartland Wines,,Swartland,South Africa,
The Observatory,,Swartland,South Africa,
The Spice Route Winery,,Swartland,South Africa,
Tukulu Wines,,Swartland,South Africa,
Winkelshoek Wynkelders,,Swartland,South Africa,
Bianco Fine Red Wines ,,Tulbagh,South Africa,
Drostdy Hof Wines,,Tulbagh,South Africa,
George Austin,,Tulbagh,South Africa,
Kloofzicht Estate ,,Tulbagh,South Africa,
Lemberg Wine Estate ,,Tulbagh,South Africa,
Montpellier ,,Tulbagh,South Africa,33°17′21″S 19°6′22″E
Paddagang Winery ,,Tulbagh,South Africa,
Rijk's Private Cellar,,Tulbagh,South Africa,
Theuniskraal Wine Estate,,Tulbagh,South Africa,
Tulbagh Mountain Vineyards,,Tulbagh,South Africa,
Tulbagh Wine Cellars,,Tulbagh,South Africa,
Twee Jonge Gezellen Estate ,,Tulbagh,South Africa,33°14′18″S 19°6′46″E
Two Oceans Wines,,Tulbagh,South Africa,
Oude Wellington Wine and Brandy Est,,Wellington,South Africa,
Aan de Doorns Co-op,,Worcester,South Africa,
Badsberg Co-Op Winery ,,Worcester,South Africa,
Bergsig wines,,Worcester,South Africa,
Botha Wine Cellar ,,Worcester,South Africa,
Brandvlei Wine Cellar ,,Worcester,South Africa,
Breëvallei Wines ,,Worcester,South Africa,
De Doorns Wine Cellar ,,Worcester,South Africa,
De Wet Co-Op Wine Cellar ,,Worcester,South Africa,
Deetlefs Estate,,Worcester,South Africa,
Du Preez Estate ,,Worcester,South Africa,
Du Toitskloof Wine Cellar  ,,Worcester,South Africa,
Goudini Wines ,,Worcester,South Africa,
Groot Eiland Winery ,,Worcester,South Africa,33°39′48″S 19°18′25″E
Lateganskop Wine Cellar ,,Worcester,South Africa,
Louwshoek Voorsorg Winery ,,Worcester,South Africa,
Merwida Wine Cellar ,,Worcester,South Africa,
Nuy Winery,http://www.nuywinery.co.za,Worcester,South Africa,
Opstal Estate,,Worcester,South Africa,
Overhex Vineyards,,Worcester,South Africa,
Rockfields Wines ,,Worcester,South Africa,
Romansrivier Winery ,,Worcester,South Africa,
Stettyn Cellar ,,Worcester,South Africa,
Stonecross ,,Worcester,South Africa,
The House of Brandy ,,Worcester,South Africa,
Villiersdorp Co-Op Wine Cellar ,,Worcester,South Africa,
Waboomsrivier Co-Op ,,Worcester,South Africa,
Winds of Change ,,Worcester,South Africa,
Slanghoek Wines,,Worcester Breedevalley,South Africa,
Augusta,,Franschhoek,South Africa,33°53′35″S 19°5′41″E
Burguny Bourgogne,,Franschhoek,South Africa,33°55′52″S 19°6′41″E
Chamonix,,Franschhoek,South Africa,33°53′58″S 19°7′41″E
Franschhoek,,Franschhoek,South Africa,33°54′16″S 19°6′43″E
Grande Provence,,Franschhoek,South Africa,33°53′55″S 19°6′12″E
L'Ormarins Winery,,Franschhoek,South Africa,33°52′19″S 18°59′54″E
La Cotlog Inn,,Franschhoek,South Africa,33°54′26″S 19°7′3″E
La Terra de Luc,,Franschhoek,South Africa,33°53′15″S 19°6′43″E
Les Chenes,,Franschhoek,South Africa,33°53′42″S 19°7′55″E
Solms-Delta Wine Estate,,Franschhoek,South Africa,33°51′51″S 18°59′23.8″E
Stables Wine Estate,,Kwazulu Natal,South Africa,29°19′32″S 29°58′48″E
Cowlin Wines,,Paarl Wellington,South Africa,33°49′38″S 18°56′18″E
D.G.B.,,Paarl Wellington,South Africa,33°37′55″S 18°59′9″E
Dawn Mountains Winery,,Paarl Wellington,South Africa,33°49′56″S 18°56′52″E
Goed Moed,,Paarl Wellington,South Africa,33°45′27″S 18°58′4″E
Klein Rhebokskloof,,Paarl Wellington,South Africa,33°39′46″S 19°1′56″E
Kleinbosch Wines,,Paarl Wellington,South Africa,33°38′2″S 18°59′37″E
Vrede en Lust,,Paarl Wellington,South Africa,33°50′15.9″S 18°57′13.4″E
Ziggurat Winery,,Paarl Wellington,South Africa,33°49′21″S 18°55′47″E
Anwilka,,Stellenbosch,South Africa,
Badenhorst,,Swartland,South Africa,
Mullineux,,Swartland,South Africa,
Kleinplasie Wine Cellar,,Worcester,South Africa,33°38′32″S 19°28′13″E
Noordboland,,Worcester,South Africa,33°38′8″S 19°27′45″E
5TH Avenue Cold Duck ,,,South Africa,
African Pride Wines,,,South Africa,
African Wines and Spirits  ,,,South Africa,
Afrivin ,,,South Africa,
Allee Bleue,,,South Africa,33°51′55″S 18°58′47″E
Andreas Wine,,,South Africa,
Anthonij Rupert Wines,,,South Africa,
Arrabella Wines,,,South Africa,
Ataraxia Mountain Vineyards,,,South Africa,
Autumn Harvest ,,,South Africa,
Baobab Winery,,,South Africa,
Bay Export ,,,South Africa,
Bay View ,,,South Africa,
Bein Merlot,,,South Africa,
Bizoe Wines,,,South Africa,
Black Pearl Wines,,,South Africa,
Bosman Family Vineyards,,,South Africa,
Boutinot Wine Estates,,,South Africa,
Bundustar,,,South Africa,
Burgershof ,,,South Africa,
Capelands ,,,South Africa,
